item_id,item_name,sell_gold,EQ_position,weapon_type,allowed_class,mid_figure,mid_fig_color,item_level,ATK,MATK,CRI,CRI_DMG,ADAM,MDAM,AC,MR,AAR,SAR,HP,HPR,MP,MPR,STR,CON,INT,WIS,DEX,LUK
eq0053,預見Ａ 拳套,500,physical_weapon,Dual_wielding,martial,knuckles.png,#99FF99,5,7,,,,5,,,,,,,,,,1,1,,,,
eq0054,預見Ａ 魔法球,500,magic_weapon,two_hand_weapon,mage,magicball.png,#99FF99,5,,7,1,,,,,,,,,,,,,,2,,,
eq0055,預見Ａ 匕首,500,physical_weapon,one_hand_weapon,thief,knife.png,#99FF99,5,7,,2,20,,,,,,,,,,,,,,,1,1
eq0056,預見Ａ 破魔劍,500,hybrid_weapon,two_hand_weapon,spellblade,mageslayer.png,#99FF99,5,5,5,,,2,2,,,,,,,,,1,,1,,,
eq0081,史萊姆 核心,500,core,,all,core.png,#FFFF00,5,,,,,,,5,5,,,100,0.5,100,0.5,1,1,1,1,1,1
eq0082,利姆露 玩偶,500,idol,,all,idol.png,#FFFF00,5,2,2,2,50,2,2,,,,,,,,,,,,,,
eq0083,利姆露 耳環,1000,earrings,,all,earrings.png,#FFFF00,10,,,,,,,,,,,,1,,0.3,,1,,1,,
eq0084,利姆露 王冠,1000,helmet,,all,helmet.png,#FFFF00,10,,,,,,,5,5,,,,1,,0.3,1,1,1,1,1,1
eq0085,利姆露 皇后之翼,1000,necklace,,all,necklace.png,#FFFF00,10,,,,,2,2,,,,,,1,,0.3,1,1,1,1,1,1
eq0101,Ａ 胸甲,1000,body,,all,body.png,#A0A0A0,10,,,,,,,5,5,,,,,,,,,,,,
eq0102,Ａ 頭盔,1000,helmet,,all,helmet.png,#A0A0A0,10,,,,,,,5,5,,,,,,,,,,,,
eq0103,Ａ 盾牌,1000,shield,,all,shield.png,#A0A0A0,10,,,,,,,5,5,,,,,,,,,,,,
eq0104,Ａ 手套,1000,gloves,,all,gloves.png,#A0A0A0,10,,,,,,,,,4,4,,,,,,,,,,
eq0105,Ａ 長靴,1000,shoe,,all,shoe.png,#A0A0A0,10,,,,,,,5,5,,,,,,,,,,,,
eq0106,Ａ 護膝,1000,kneepads,,all,kneepads.png,#A0A0A0,10,,,,,,,,,4,4,,,,,,,,,,
eq0107,Ａ 戒指,1000,ring,,all,ring.png,#A0A0A0,10,,,,,,,2,2,,,,,,,,,,,,
eq0108,Ａ 耳環,1000,earrings,,all,earrings.png,#A0A0A0,10,,,,,,,,,,,20,,20,,,,,,,
eq0109,Ａ 項鍊,1000,necklace,,all,necklace.png,#A0A0A0,10,,,,,3,3,,,,,,,,,,,,,,
eq0110,Ａ 長劍,1000,physical_weapon,one_hand_weapon,warrior|thief|spellblade,sword.png,#A0A0A0,10,12,,,,,,,,,,,,,,5,,,,,1
eq0111,Ａ 法杖,1000,magic_weapon,two_hand_weapon,mage|priest,wand.png,#A0A0A0,10,,12,,,,,,,,,20,,20,,,,1,5,,
eq0112,Ａ 拳套,1000,physical_weapon,Dual_wielding,martial,knuckles.png,#A0A0A0,10,12,,,,5,,,,,,,,,,3,3,,,,
eq0113,Ａ 魔法球,1000,magic_weapon,two_hand_weapon,mage,magicball.png,#A0A0A0,10,,15,2,,,,,,,,,,,,,,5,1,,
eq0114,Ａ 匕首,1000,physical_weapon,Dual_wielding,thief,knife.png,#A0A0A0,10,10,,2,30,,,,,,,,,,,,,,,3,3
eq0115,Ａ 破魔劍,1000,hybrid_weapon,two_hand_weapon,spellblade,mageslayer.png,#A0A0A0,10,8,8,,,5,5,,,,,,,,,3,,3,,,
eq0131,Lv.2 力量戒指,1500,ring,,all,ring.png,#A0A0A0,20,,,,,,,2,2,,,,,,,4,,,,,
eq0132,Lv.2 體質戒指,1500,ring,,all,ring.png,#A0A0A0,20,,,,,,,2,2,,,,,,,,4,,,,
eq0133,Lv.2 智慧戒指,1500,ring,,all,ring.png,#A0A0A0,20,,,,,,,2,2,,,,,,,,,4,,,
eq0134,Lv.2 精神戒指,1500,ring,,all,ring.png,#A0A0A0,20,,,,,,,2,2,,,,,,,,,,4,,
eq0135,Lv.2 敏捷戒指,1500,ring,,all,ring.png,#A0A0A0,20,,,,,,,2,2,,,,,,,,,,,4,
eq0136,Lv.2 幸運戒指,1500,ring,,all,ring.png,#A0A0A0,20,,,,,,,2,2,,,,,,,,,,,,4
eq0137,Cv.2 力體戒指,1500,ring,,all,ring.png,#99FF99,20,,,,,,,,,,,,,,,4,4,,,,
eq0138,Cv.2 精智戒指,1500,ring,,all,ring.png,#99FF99,20,,,,,,,,,,,,,,,,,4,4,,
eq0139,Cv.2 敏幸戒指,1500,ring,,all,ring.png,#99FF99,20,,,,,,,,,,,,,,,,,,,4,4
eq0140,Cv.2 生靈耳環,1500,earrings,,all,earrings.png,#99FF99,20,,,,,,,,,,,20,0.5,20,0.1,,,,,,
eq0151,預見Ｂ 長劍,1500,physical_weapon,one_hand_weapon,warrior|thief|spellblade,sword.png,#99FF99,15,20,,,,,,,,,,,,,,3,,,,,1
eq0152,預見Ｂ 法杖,1500,magic_weapon,two_hand_weapon,mage|priest,wand.png,#99FF99,15,,20,,,,,,,,,20,,20,0.3,,,1,3,,
eq0153,預見Ｂ 拳套,1500,physical_weapon,Dual_wielding,martial,knuckles.png,#99FF99,15,20,,,,7,,,,,,,,,,2,2,,,,
eq0154,預見Ｂ 魔法球,1500,magic_weapon,two_hand_weapon,mage,magicball.png,#99FF99,15,,20,2,,,,,,,,,,,,,,3,1,,
eq0155,預見Ｂ 匕首,1500,physical_weapon,one_hand_weapon,thief,knife.png,#99FF99,15,20,,3,20,,,,,,,,,,,,,,,2,2
eq0156,預見Ｂ 破魔劍,1500,hybrid_weapon,two_hand_weapon,spellblade,mageslayer.png,#99FF99,15,15,15,,,3,3,,,,,,,,,2,,2,,,
eq0181,聖劍碎片 希魯達,1500,idol,,all,idol.png,#FFFF00,15,12,12,5,80,3,3,,,,,,,,,,,,,,
eq0182,祈願 松木法杖,1500,magic_weapon,two_hand_weapon,priest,wand.png,#FFFF00,15,,30,,,,3,,,,,,,50,,,,5,10,,
eq0183,哥布林 祭祀匕首,1500,physical_weapon,one_hand_weapon,thief,knife.png,#FFFF00,15,25,,5,50,,,,,,,,,,,,,,,,
eq0184,哥布林 貪慾核心,1500,core,,all,core.png,#FF0000,15,,,,,,,-5,-5,,,10,,10,,5,,5,,,30
eq0185 ,哥布林 薩滿圖騰,1500,shield,,all,shield.png,#FFFF00,15,5,5,,,,,,,,,,,,0.5,1,,1,,,1
eq0186,哥布林 偷襲短靴,1500,shoe,,all,shoe.png,#FFFF00,15,,,,,,,,,5,5,,,,,,,,,8,
eq0187,哥布林 逃兵護膝,1500,kneepads,,all,kneepads.png,#FF0000,15,,,,,,,-10,-10,10,10,,,,,,,,,,5
eq0188,哥布林 火藥行囊,1500,idol,,all,idol.png,#FF0000,15,5,5,,,18,18,-10,-10,-10,-10,,,,,,,,,,
eq0201,Ｂ 胸甲,2000,body,,all,body.png,#A0A0A0,20,,,,,,,10,10,,,,,,,,,,,,
eq0202,Ｂ 頭盔,2000,helmet,,all,helmet.png,#A0A0A0,20,,,,,,,10,10,,,,,,,,,,,,
eq0203,Ｂ 盾牌,2000,shield,,all,shield.png,#A0A0A0,20,,,,,,,10,10,,,,,,,,,,,,
eq0204,Ｂ 手套,2000,gloves,,all,gloves.png,#A0A0A0,20,,,,,,,,,6,6,,,,,,,,,,
eq0205,Ｂ 長靴,2000,shoe,,all,shoe.png,#A0A0A0,20,,,,,,,10,10,,,,,,,,,,,,
eq0206,Ｂ 護膝,2000,kneepads,,all,kneepads.png,#A0A0A0,20,,,,,,,,,6,6,,,,,,,,,,
eq0207,Ｂ 戒指,2000,ring,,all,ring.png,#A0A0A0,20,,,,,,,3,3,,,,,,,,,,,,
eq0208,Ｂ 耳環,2000,earrings,,all,earrings.png,#A0A0A0,20,,,,,,,,,,,30,,30,,,,,,,
eq0209,Ｂ 項鍊,2000,necklace,,all,necklace.png,#A0A0A0,20,,,,,3,3,,,,,,,,,,,,,,
eq0210,Ｂ 長劍,2000,physical_weapon,one_hand_weapon,warrior|thief|spellblade,sword.png,#A0A0A0,20,25,,,,,,,,,,,,,,7,,,,,3
eq0211,Ｂ 法杖,2000,magic_weapon,two_hand_weapon,mage|priest,wand.png,#A0A0A0,20,,25,,,,,,,,,30,,30,,,,3,7,,
eq0212,Ｂ 拳套,2000,physical_weapon,Dual_wielding,martial,knuckles.png,#A0A0A0,20,25,,,,7,,,,,,,,,,5,5,,,,
eq0213,Ｂ 魔法球,2000,magic_weapon,two_hand_weapon,mage,magicball.png,#A0A0A0,20,,25,3,,,,,,,,,,,,,,7,3,,
eq0214,Ｂ 匕首,2000,physical_weapon,one_hand_weapon,thief,knife.png,#A0A0A0,20,25,,3,30,,,,,,,,,,,,,,,5,5
eq0215,Ｂ 破魔劍,2000,hybrid_weapon,two_hand_weapon,spellblade,mageslayer.png,#A0A0A0,20,18,18,,,5,5,,,,,,,,,5,,5,,,
eq0231,Lv.3 力量戒指,2500,ring,,all,ring.png,#A0A0A0,30,,,,,,,3,3,,,,,,,6,,,,,
eq0232,Lv.3 體質戒指,2500,ring,,all,ring.png,#A0A0A0,30,,,,,,,3,3,,,,,,,,6,,,,
eq0233,Lv.3 智慧戒指,2500,ring,,all,ring.png,#A0A0A0,30,,,,,,,3,3,,,,,,,,,6,,,
eq0234,Lv.3 精神戒指,2500,ring,,all,ring.png,#A0A0A0,30,,,,,,,3,3,,,,,,,,,,6,,
eq0235,Lv.3 敏捷戒指,2500,ring,,all,ring.png,#A0A0A0,30,,,,,,,3,3,,,,,,,,,,,6,
eq0236,Lv.3 幸運戒指,2500,ring,,all,ring.png,#A0A0A0,30,,,,,,,3,3,,,,,,,,,,,,6
eq0237,Cv.3 力體戒指,2500,ring,,all,ring.png,#99FF99,30,,,,,,,,,,,,,,,6,6,,,,
eq0238,Cv.3 精智戒指,2500,ring,,all,ring.png,#99FF99,30,,,,,,,,,,,,,,,,,6,6,,
eq0239,Cv.3 敏幸戒指,2500,ring,,all,ring.png,#99FF99,30,,,,,,,,,,,,,,,,,,,6,6
eq0240,Cv.3 生靈耳環,2500,earrings,,all,earrings.png,#99FF99,30,,,,,,,,,,,20,0.5,20,0.1,,,,,,
eq0251,預見Ｃ 長劍,2500,physical_weapon,one_hand_weapon,warrior|thief|spellblade,sword.png,#99FF99,25,30,,,,,,,,,,,,,,7,,,,,3
eq0252,預見Ｃ 法杖,2500,magic_weapon,two_hand_weapon,mage|priest,wand.png,#99FF99,25,,30,,,,,,,,,,10,10,,,,3,7,,
eq0253,預見Ｃ 拳套,2500,physical_weapon,Dual_wielding,martial,knuckles.png,#99FF99,25,30,,,,9,,,,,,,,,,5,5,,,,
eq0254,預見Ｃ 魔法球,2500,magic_weapon,two_hand_weapon,mage,magicball.png,#99FF99,25,,30,3,,,,,,,,,,,,,,7,3,,
eq0255,預見Ｃ 匕首,2500,physical_weapon,one_hand_weapon,thief,knife.png,#99FF99,25,30,,3,30,,,,,,,,,,,,,,,5,5
eq0256,預見Ｃ 破魔劍,2500,hybrid_weapon,two_hand_weapon,spellblade,mageslayer.png,#99FF99,25,23,23,1,,5,5,,,,,,,,,5,,5,,,
eq0281,魯米娜斯 信仰,2500,idol,,all,idol.png,#FFFF00,25,12,12,5,80,5,5,,,,,,,,,,,,,,
eq0282,骷髏王 紫金骷髏,3000,magic_weapon,two_hand_weapon,priest,wand.png,#FFFF00,30,,25,5,,,,,,,,,,50,,,,15,5,5,5
eq0283,巫妖王 影之哀傷,3000,hybrid_weapon,two_hand_weapon,warrior|spellblade,mageslayer.png,#FFFF00,30,25,25,5,50,2,2,,,,,,,,,15,5,,,5,5
eq0284,殭屍王 屍鬼封禁,3000,body,,all,body.png,#FFFF00,30,,,,,,,30,30,,,50,20,50,5,2,10,2,10,3,3
eq0285,玷污的 靈魂核心,2500,core,,all,core.png,#000000,25,,,,,,,-5,-5,,,10,,10,,5,,5,,,30
eq0286,古洛斯 耳環,2500,earrings,,all,earrings.png,#FFFF00,25,,,,,,,,,,,,6,,1.5,,,,,,
eq0287,防腐官 裹屍手套,2500,gloves,,all,gloves.png,#FFFF00,25,,,,,,,8,8,,,,-10,,-0.5,,,,,,
eq0288,縛地靈 跪的容易,2500,kneepads,,all,kneepads.png,#FFFF00,25,,,,,-5,-5,8,8,4,4,,,,,,,,,,
eq0289,怨靈 水晶戒,2500,ring,,all,ring.png,#000000,25,,,,,,,-5,-5,-8,-8,,,,,8,5,8,5,5,5
eq0290,縫合怪 腐敗巨劍,2500,hybrid_weapon,two_hand_weapon,spellblade,mageslayer.png,#000000,25,44,44,4,44,-12,-12,,,,,,,,,22,-11,22,-11,,-22
eq0291,腐敗修女 思念,2500,necklace,,all,necklace.png,#FFFF00,25,,,,,4,4,,,,,,,,,,,,8,,
eq0292,純淨的 靈魂核心,2500,core,,all,core.png,#FFFF00,25,,,,,,,5,5,,,300,1,50,1,,5,,5,,
eq0293,盜墓者 貪婪戒環,2500,ring,,all,ring.png,#000000,25,,,,,,,,,,,,,,,-8,-8,-8,-8,-8,50
eq0301,Ｃ 胸甲,2000,body,,all,body.png,#A0A0A0,30,,,,,,,15,15,,,,,,,,,,,,
eq0302,Ｃ 頭盔,2000,helmet,,all,helmet.png,#A0A0A0,30,,,,,,,15,15,,,,,,,,,,,,
eq0303,Ｃ 盾牌,2000,shield,,all,shield.png,#A0A0A0,30,,,,,,,15,15,,,,,,,,,,,,
eq0304,Ｃ 手套,2000,gloves,,all,gloves.png,#A0A0A0,30,,,,,,,,,8,8,,,,,,,,,,
eq0305,Ｃ 長靴,2000,shoe,,all,shoe.png,#A0A0A0,30,,,,,,,15,15,,,,,,,,,,,,
eq0306,Ｃ 護膝,2000,kneepads,,all,kneepads.png,#A0A0A0,30,,,,,,,,,8,8,,,,,,,,,,
eq0307,Ｃ 戒指,2000,ring,,all,ring.png,#A0A0A0,30,,,,,,,4,4,,,,,,,,,,,,
eq0308,Ｃ 耳環,2000,earrings,,all,earrings.png,#A0A0A0,30,,,,,,,,,,,40,,40,,,,,,,
eq0309,Ｃ 項鍊,2000,necklace,,all,necklace.png,#A0A0A0,30,,,,,4,4,,,,,,,,,,,,,,
eq0310,Ｃ 長劍,2000,physical_weapon,one_hand_weapon,warrior|thief|spellblade,sword.png,#A0A0A0,30,38,,,,,,,,,,,,,,10,,,,,5
eq0311,Ｃ 法杖,2000,magic_weapon,two_hand_weapon,mage|priest,wand.png,#A0A0A0,30,,38,,,,,,,,,30,,30,,,,5,10,,
eq0312,Ｃ 拳套,2000,physical_weapon,Dual_wielding,martial,knuckles.png,#A0A0A0,30,38,,,,9,,,,,,,,,,8,7,,,,
eq0313,Ｃ 魔法球,2000,magic_weapon,two_hand_weapon,mage,magicball.png,#A0A0A0,30,,38,3,,,,,,,,,,,,,,8,7,,
eq0314,Ｃ 匕首,2000,physical_weapon,one_hand_weapon,thief,knife.png,#A0A0A0,30,38,,4,30,,,,,,,,,,,,,,,10,5
eq0315,Ｃ 破魔劍,2000,hybrid_weapon,two_hand_weapon,spellblade,mageslayer.png,#A0A0A0,30,27,27,,,6,6,,,,,,,,,8,,7,,,
eq0331,Lv.4 力量戒指,2500,ring,,all,ring.png,#A0A0A0,40,,,,,,,3,3,,,,,,,8,,,,,
eq0332,Lv.4 體質戒指,2500,ring,,all,ring.png,#A0A0A0,40,,,,,,,3,3,,,,,,,,8,,,,
eq0333,Lv.4 智慧戒指,2500,ring,,all,ring.png,#A0A0A0,40,,,,,,,3,3,,,,,,,,,8,,,
eq0334,Lv.4 精神戒指,2500,ring,,all,ring.png,#A0A0A0,40,,,,,,,3,3,,,,,,,,,,8,,
eq0335,Lv.4 敏捷戒指,2500,ring,,all,ring.png,#A0A0A0,40,,,,,,,3,3,,,,,,,,,,,8,
eq0336,Lv.4 幸運戒指,2500,ring,,all,ring.png,#A0A0A0,40,,,,,,,3,3,,,,,,,,,,,,8
eq0337,Cv.4 力體戒指,2500,ring,,all,ring.png,#99FF99,40,,,,,,,,,,,,,,,8,8,,,,
eq0338,Cv.4 精智戒指,2500,ring,,all,ring.png,#99FF99,40,,,,,,,,,,,,,,,,,8,8,,
eq0339,Cv.4 敏幸戒指,2500,ring,,all,ring.png,#99FF99,40,,,,,,,,,,,,,,,,,,,8,8
eq0340,Cv.4 生靈耳環,2500,earrings,,all,earrings.png,#99FF99,40,,,,,,,,,,,30,0.9,30,0.3,,,,,,
eq0351,預見Ｄ 長劍,2500,physical_weapon,one_hand_weapon,warrior|thief|spellblade,sword.png,#99FF99,35,45,,,,,,,,,,,,,,8,,,,,8
eq0352,預見Ｄ 法杖,2500,magic_weapon,two_hand_weapon,mage|priest,wand.png,#99FF99,35,,45,,,,,,,,,,10,10,,,,8,8,,
eq0353,預見Ｄ 拳套,2500,physical_weapon,Dual_wielding,martial,knuckles.png,#99FF99,35,45,,,,11,,,,,,,,,,8,8,,,,
eq0354,預見Ｄ 魔法球,2500,magic_weapon,two_hand_weapon,mage,magicball.png,#99FF99,35,,45,3,,,,,,,,,,,,,,8,8,,
eq0355,預見Ｄ 匕首,2500,physical_weapon,one_hand_weapon,thief,knife.png,#99FF99,35,45,,3,30,,,,,,,,,,,,,,,8,8
eq0356,預見Ｄ 破魔劍,2500,hybrid_weapon,two_hand_weapon,spellblade,mageslayer.png,#99FF99,35,33,33,2,10,6,6,,,,,,,,,8,,8,,,
eq9999,無名 征服者,1,ring,,all,ring.png,#000000,80,,,,,,,,,,,,,,,,,,,,
