class_id,name,skill_id,level,cost,cooldown,skill_color,damage_type,damage_target,base_damage,multiplier,cast_time,is_book,effect1,effect1_target,effect1_value,effect1_sec,effect1_Attribute,effect1_multi,effect2,effect2_target,effect2_value,effect2_sec,effect2_Attribute,effect2_multi,enabled,use_priority,trigger_type,trigger_value,min_targets,skill_intro
thief,逆刃,csk503,5,10,5,#CC6600,physical,front,5,140,0,TRUE,Counter,DMGchoose,100%,3,,,,,,,,,TRUE,89,,,,[反擊]
thief,毒刃,csk504,8,15,5,#CC6600,physical,front,8,160,0,TRUE,DOT,DMGchoose,50%,5,DEX,0.2,,,,,,,TRUE,88,,,,[成長] | [debuff]
thief,盜賊的自我修養 Lv.11,csk505,11,50,300,#FFFF00,buff,none,0,0,0,TRUE,CRI,self,5,60,DEX,0.1,CRI_DMG,self,30,60,DEX,0.1,TRUE,10,,,,[成長] | [buff]
thief,瞬影連刺,csk506,13,20,0,#CC6600,physical,front,0,180,0,TRUE,ASPD,self,200,1,,,ADAM,self,-80,1,,,TRUE,87,,,,[犧牲] | 快速連刺
thief,二刀連擊,csk507,15,30,60,#FFFF00,buff,none,0,0,0,TRUE,ASPD,self,100,60,,,,,,,,,TRUE,38,,,,[buff]
thief,殘影亂斬,csk508,18,25,0,#CC6600,physical,front,18,200,0,TRUE,ASPD,self,400,1,,,ADAM,self,-80,1,,,TRUE,86,,,,[犧牲] | 快速連刺plus
thief,消失,csk509,23,50,60,#FFFF00,buff,none,0,0,0,TRUE,AAR,self,5,60,DEX,0.1,SAR,self,5,60,DEX,0.1,TRUE,37,,,,[成長] | [buff]
thief,致命突刺,csk510,27,30,0,#CC6600,physical,front,27,220,0,TRUE,CRI,self,5,10,DEX,0.1,,,,,,,TRUE,85,,,,[成長]
thief,盜賊的自我修養 Lv.31,csk511,31,100,300,#FFFF00,buff,none,0,0,0,TRUE,CRI,self,5,60,DEX,0.2,CRI_DMG,self,60,60,DEX,0.2,TRUE,9,,,,[成長] | [buff]
spellblade,攻擊,csk600,1,0,0,#FFFFFF,hybrid,front,0,100,0,FALSE,,,,,,,,,,,,,TRUE,100,,,,
spellblade,魔力斬擊,csk601,1,8,0,#BF55EC,hybrid,front,0,120,0,TRUE,,,,,,,,,,,,,TRUE,99,,,,
spellblade,魔劍之道,csk602,3,1,60,#FFFF00,buff,none,0,0,0,TRUE,MATK,self,1,60,INT,0.2,MPR,self,-0.2,60,INT,0.04,TRUE,39,,,,[成長] | [buff]
spellblade,注魔氣刃斬,csk603,5,33,0,#BF55EC,hybrid,aoe,5,100,0,TRUE,,,,,,,,,,,,,TRUE,69,,,,[犧牲] | [成長] | [buff]
spellblade,冥月斬,csk604,8,32,0,#BF55EC,hybrid,front,8,140,0,TRUE,,,,,,,,,,,,,TRUE,98,,,,
spellblade,芙蕾雅的信仰,csk605,11,100,60,#FFFF00,buff,none,0,0,0,TRUE,ADAM,self,1,60,STR,0.1,MDAM,self,1,60,INT,0.1,TRUE,10,,,,[成長] | [buff]
spellblade,反手破魔劍,csk606,13,78,5,#BF55EC,hybrid,aoe,13,80,0,TRUE,Counter,DMGchoose,66%,5,,,MR,DMGchoose,-20,5,,,TRUE,68,,,,[反擊]
spellblade,血劍之道,csk607,15,1,60,#FFFF00,buff,none,0,0,0,TRUE,ATK,self,1,60,STR,0.2,HPR,self,-1,60,STR,0.2,TRUE,38,,,,[犧牲] | [成長] | [buff]
spellblade,悖魔鋒刃,csk608,18,44,0,#BF55EC,hybrid,front,18,160,0,TRUE,,,,,,,,,,,,,TRUE,97,,,,
spellblade,提爾的信仰,csk609,21,100,60,#FFFF00,buff,none,0,0,0,TRUE,ADAM,self,1,60,STR,0.1,MDAM,self,1,60,INT,0.1,TRUE,9,,,,[成長] | [buff]
spellblade,劍刃風暴✗魔,csk610,25,144,5,#BF55EC,hybrid,aoe,27,120,0,TRUE,AAR,DMGchoose,-20,5,DEX,0.1,SAR,DMGchoose,-20,5,DEX,0.1,TRUE,67,,,,[成長]
spellblade,魂體轉換,csk611,31,0,0,#FFFF00,buff,none,0,0,0,TRUE,HPR,self,-100,2,CON,0.1,MPR,self,50,2,WIS,0.2,TRUE,19,self_hp_above_mp_below,,,[犧牲] | [成長] | 治癒師一生之敵
