monster_id,name,skill_order,skill_id,skill_name,cooldown,initial_delay,use_priority,trigger_condition,skill_color
mon031,死靈術士,5,sk049,魂體轉換,5,0,5,enemy_MP_below_90,#FF66B2
mon031,死靈術士,10,sk050,屍爆術,3,0,10,always,#FF66B2
mon032,屍肉魔像,1,sk051,堆屍牆,10,2,1,always,#FFFF99
mon032,屍肉魔像,5,sk052,殭屍復甦．殞落,1,1,5,always,#FF66B2
mon032,屍肉魔像,10,sk053,肉山衝撞,5,0,10,always,#CC6600
mon033,巨大的縫合怪,4,sk045,血淚詛咒,14,0,4,always,#FF66B2
mon033,巨大的縫合怪,5,sk044,怨念爆發,5,3,5,always,#FF66B2
mon033,巨大的縫合怪,6,sk030,裂地重擊,7,1,6,always,#CC6600
mon033,巨大的縫合怪,10,sk054,血肉再生,10,5,10,always,#00FF00
mon034,盡忠的骷髏騎士,2,sk055,你這次護駕有功,5,5,2,always,#FFFF99
mon034,盡忠的骷髏騎士,5,sk056,索命黑令旗,5,1,5,always,#FFFF99
mon034,盡忠的骷髏騎士,10,sk057,斬擊(佯攻),3,0,10,always,#CC6600
mon035,古洛斯°黑龍,9,sk036,斷頭斬,3,0,9,always,#CC6600
mon035,古洛斯°黑龍,6,sk030,裂地重擊,7,0,6,always,#CC6600
mon035,古洛斯°黑龍,3,sk037,突擊令,5,0,3,always,#FFFF99
mon035,古洛斯°黑龍,5,sk010,國王之劍,3,0,5,always,#CC6600
mon035,古洛斯°黑龍,10,sk031,亡命劈砍,5,0,10,always,#CC6600
mon036,巫妖王°無名,3,sk049,魂體轉換,3,0,5,enemy_MP_below_90,#FF66B2
mon036,巫妖王°無名,10,sk050,屍爆術,3,0,10,always,#FF66B2
mon036,巫妖王°無名,4,sk041,心靈鬼手,4,1,5,always,#FF66B2
mon036,巫妖王°無名,1,sk042,靈魂奪取,10,0,1,enemy_HP_below_70,#FF0000
mon036,巫妖王°無名,8,sk035,逆轉聖療,10,1,8,always,#00FF00
mon036,巫妖王°無名,5,sk013,戰鬥法陣,20,0,5,always,#FFFF99
mon037,殭屍王°將臣,1,sk051,堆屍牆,10,2,1,always,#FFFF99
mon037,殭屍王°將臣,5,sk052,殭屍復甦．殞落,1,1,5,always,#FF66B2
mon037,殭屍王°將臣,8,sk053,肉山衝撞,5,0,8,always,#CC6600
mon037,殭屍王°將臣,9,sk043,吸魂,7,1,9,always,#FF66B2
mon037,殭屍王°將臣,6,sk030,裂地重擊,7,1,6,always,#CC6600
mon037,殭屍王°將臣,10,sk054,血肉再生,10,5,10,always,#00FF00
